phenotype_name	level_of_relevance
decreased circulating LDL cholesterol level	3
decreased circulating cholesterol level	3
decreased circulating VLDL cholesterol level	3
decreased triglyceride level	3
decreased liver triglyceride level	3
decreased circulating free fatty acid level	3
increased circulating LDL cholesterol level	3
increased circulating VLDL cholesterol level	3
decreased intestinal cholesterol absorption	3
abnormal lipid homeostasis	3
decreased fatty acid level	3
decreased circulating triglyceride level	3
abnormal circulating HDL cholesterol level	3
abnormal circulating cholesterol level	3
abnormal circulating triglyceride level	3
increased circulating cholesterol level	3
increased liver cholesterol level	3
increased liver triglyceride level	3
increased circulating triglyceride level	3
increased circulating HDL cholesterol level	3
increased circulating phospholipid level	3
abnormal cellular cholesterol metabolism	3
abnormal cholesterol homeostasis	3
decreased circulating HDL cholesterol level	3
abnormal lipid level	3
abnormal triglyceride level	3
increased cholesterol level	3
abnormal phospholipid level	3
increased fatty acid oxidation	3
increased fatty acid beta-oxidation	3
increased triglyceride level	3
abnormal lipolysis	3
decreased circulating glycerol level	3
abnormal fatty acid level	3
increased circulating free fatty acid level	3
abnormal circulating free fatty acids level	3
decreased liver cholesterol level	3
decreased unsaturated fatty acid level	3
decreased saturated fatty acid level	3
abnormal ceramide level	3
abnormal sphingomyelin level	3
increased saturated fatty acid level	3
increased fatty acid level	3
enhanced lipolysis	3
abnormal free fatty acids level	3
increased circulating VLDL triglyceride level	3
impaired lipolysis	3
lipidosis	3
abnormal circulating lipid level	3
decreased cholesterol level	3
decreased brain cholesterol level	3
hyperlipidemia	3
decreased circulating phospholipid level	3
decreased cholesterol efflux	3
decreased circulating VLDL triglyceride level	3
abnormal fatty acid oxidation	3
abnormal circulating LDL cholesterol level	3
xanthoma	3
increased cholesterol efflux	3
increased intestinal cholesterol absorption	3
increased lipoprotein lipase activity	3
abnormal intestinal lipid absorption	3
decreased liver free fatty acids level	3
increased sterol level	3
increased brain cholesterol level	3
abnormal cholesterol level	3
increased ceramide level	3
sphingomyelinosis	3
abnormal sphingolipid level	3
decreased triglyceride lipase activity	3
increased liver free fatty acids level	3
increased glycerol level	3
abnormal lipid metabolism	3
abnormal circulating phospholipid level	3
abnormal circulating phytosterol level	3
decreased fatty acid oxidation	3
increased prostaglandin level	3
abnormal blood homeostasis	0
abnormal enzyme/coenzyme activity	1
abnormal enzyme/coenzyme level	1
